time_ms,kernel,run_id,batch_size,time_proportion,model,dataset
0.244350,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,1,0.85461865,catboost,churn_modelling:numerical
0.261182,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",1,1,0.86434306,catboost,churn_modelling:numerical
0.242590,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",2,1,0.8522755200000001,catboost,churn_modelling:numerical
0.259357,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,4,0.8618659100000001,catboost,churn_modelling:numerical
0.262686,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",1,4,0.8635617999999999,catboost,churn_modelling:numerical
0.258494,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",2,4,0.86729565,catboost,churn_modelling:numerical
0.265757,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,21,0.86384587,catboost,churn_modelling:numerical
0.246941,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",1,21,0.8502628900000001,catboost,churn_modelling:numerical
0.264733,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",2,21,0.86347847,catboost,churn_modelling:numerical
0.266974,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,97,0.86491723,catboost,churn_modelling:numerical
0.252798,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",1,97,0.86698767,catboost,churn_modelling:numerical
0.253022,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",2,97,0.86217331,catboost,churn_modelling:numerical
0.260254,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,445,0.8320193899999999,catboost,churn_modelling:numerical
0.256542,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",1,445,0.83649999,catboost,churn_modelling:numerical
0.248638,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",2,445,0.8490894,catboost,churn_modelling:numerical
