0,15,0,5,0,7
0,8,5,15,0,7
8,15,5,9,0,7
8,15,9,15,0,7
0,7,0,15,7,7
0,7,0,3,7,15
0,6,3,15,7,15
6,7,3,5,7,15
6,7,5,15,7,15
7,12,0,7,7,7
7,12,0,7,7,15
12,15,0,7,7,15
7,10,7,10,7,8
10,11,7,10,7,8
7,11,10,15,7,8
7,11,7,15,8,8
7,11,7,15,8,15
11,11,7,15,7,15
11,12,7,15,7,15
12,15,7,15,7,15
0,15,0,5,0,7
0,8,5,15,0,7
8,15,5,9,0,7
8,15,9,15,0,7
0,7,0,15,7,7
0,7,0,5,7,9
0,4,0,5,9,15
4,7,0,5,9,15
0,7,5,15,7,8
0,7,5,15,8,15
7,8,0,7,7,9
7,8,0,7,9,15
8,12,0,7,7,10
8,12,0,7,10,15
8,12,7,7,7,15
12,15,0,7,7,15
7,11,7,7,7,15
7,8,7,15,7,7
8,11,7,15,7,7
7,9,7,8,7,15
9,11,7,8,7,15
7,11,8,15,7,15
11,11,7,15,7,15
11,12,7,15,7,15
12,15,7,15,7,15
